NGLayout crashes when loading this URL;critical
Assert in table code;critical
Crashes when you try to read this html file;critical
ss: crash because table frame has a displayType of inline;critical
ss: XPViewer sucks resources resizing/maximizing on win95;critical
ss: Directory listing URLs crash NGLayout;critical
Layout of ftp page is extremely slow, slower than NOVA;critical
"Clicking on ""blank"" areas of page crashes";critical
Missing attributes when searching...;critical
[PP]:All Javascript code is removed from html!;critical
Crash while parsing;critical
Parser crash;critical
Crash with <XMP> tag;critical
Parser crash;critical
[PP] ComputeAvailSpaceRect crash;critical
Parser crash;critical
matchValue() is missing the normalize argument...;critical
Various formatting CSS objects not displaying at all;critical
Parser crash;critical
Table is not centered;critical
Bug in autoreg or services loader;critical
Mac crashes on startup in XPCOM;critical
Need a plug-ins directory for seamonkey on launch;critical
4 second delay on opening page;critical
Hang/Crash at Netcenter CareerCenter page;critical
webpages don't get scrollbars;critical
x86 Assembly code used when compiling on an Alpha;critical
OBJECTs degrade incorrectly;critical
Default encoding for XUL/XML/RDF should use UTF-8;critical
Seamonkey fails to print, crashes Mac OS;critical
Memory leak on PR_Read;critical
MLK: all image decoders;critical
Crash at this page, parsing illegal frameset html;critical
crash in javascript...;critical
[BLOCK] MLK:  We are leaking the entire nsWebShellWindow;critical
Crash: http://www.elpais.es crashes;critical
[CRASH, BLOCK] Submitting a form crashes browser;critical
ANSI C++ violation in layout/base/src/nsContentList.cpp;critical
[PP]hang in network or parser code with IFRAME;critical
.xml page did not load;critical
apprunner/viewer quits when loading a page with an applet;critical
Text does not appear on the screen;critical
[CRASH] Printing crashes on Mac;critical
[BLOCKING WALLET]form submission no longer works;critical
intermittent infinite loop in range code;critical
Strange uninitialized variable will give unpredictable behavior;critical
Tables - Gecko Crashes When a table is root element;critical
crash loading XML file;critical
second mail message viewed causes crash;critical
Assertion fails using Purify for NT;critical
[CRASH] Combo boxes crashing big time;critical
Crash loading a page of different charset under KO default;critical
infinite loop in nsStr::FindSubstr;critical
infinite loop in dom range gravity code;critical
Charset Handling- Parser does not use default charset value set by Default Charset Menu;critical
Drag selecting entire content, then deleting, causes crash;critical
Multiple APPLET tags results in one plug-in instance;critical
[PP]gcc 2.7.2.3 barfage on wallet.cpp;critical
Crash related to stylesheet loading;critical
[PP] Apprunner frequently crashing in CalcOffset (upon closing Window);critical
scribble.exe in the nightly builds crashes;critical
Crash on nsPluginsDirWin.cpp;critical
( top) in objectclass...;critical
CRASH: body with style of display:table;critical
Possible view heirarchy issues;critical
Crash in CNavDTD::CloseTopmostContainer(), see comment...;critical
Parser crashes in loading big DTD file (>=11k);critical
Unclosed <label> blocks browser;critical
ImageLib 2 breaks OBJECT images;critical
Crash-Loading this page;critical
[crash][pp]mouseover the back button creates empty windows;critical
Click on toplevel menu in plaintext editor causes crash;critical
crash opening local mail hierarchy;critical
[PP] Intrinsic sizing doesn't work under unix;critical
Major printing problems with the Viewer app;critical
THREADING: xpcom FindFactory() randomly fails.;critical
Crashing from parser in call to Append;critical
[top100] crash occurs attempting load electronic arts site;critical
nsStr::Compare bug;critical
nsString2::Equals(nsString& and nsStr&, ...) bug...;critical
solaris compilation errors on widget/src/gtk/nsWindow.cpp;critical
Menus do not display in 1999-07-31-09-M9 build;critical
apprunner crashes on any XUL that has ENTITYs;critical
Showing Channels or sidebar causes nsCellMap precondition;critical
Core dump performing update;critical
selection crashes viewer on test11 page;critical
[OPT] example number 4 displays incorrectly, may crash browser;critical
Table crash on border collapse style being set;critical
CRASH: vertical-align on table cell is length or percentage;critical
'display: table-column-group' CSS2 property causes crash.;critical
CRASH: insertRow() on TBODY with border-collapse: collapse;critical
{PP]--enable-monolithic-toolkit is broken on all unix platforms;critical
mouseover scroll bar in prefs and manage bookmarks crashes apprunner;critical
Menus only garbage as contents;critical
Cookies not working at all (well a little now);critical
[dogfood] [blocker] Need XP context and popup menus;critical
Crash: Selection of word-spacing/letter-spacing text corrupts rendering;critical
[perf] Optimize nsDateTimeFormatWin::FormatTMTime();critical
[PP] NT - Pages won't display if non-western charset specified;critical
[BLOCK] Need Modal flag for window.open;critical
[BETA] crash, maybe from interrupting url load;critical
[Crasher] closing child window through JS is causing parent window to be closed.;critical
Crash while viewing page;critical
MLK: rendering contexts;critical
password data wrong if user types with 1 or more chars selected;critical
Unhandled exception when typing in a form;critical
Can't decode UTF-8 Japanese text in JS function;critical
"Charset Detector ""japsm"" keeps on repeating to detect even though there is a meta tag on the page";critical
Selecting broken OBJECT crashes browser...;critical
Select bustage: cut or delete error leads to option used before set error;critical
nsBlockFrame optimization causes option elements to display incorrectly;critical
Missing </OPTION> before <OPTGROUP> locks up parser;critical
[PP] Linux - combo boxes: can't select an item anymore;critical
null pointer read in nsDll::Load();critical
free memory read in nsDll::IsLoaded();critical
