ugly link parses incorrectly, source gets put into content;major
Parser freeze;major
Parser freeze;major
Checking on named anchors (#foo) in page forces reload;major
We shouldn't process content inside <NOSCRIPT> tags;major
Too many Selector and SelectorList;major
crash with LI in table;major
Plugins ignore size parameters and display in 50 x 50 box;major
Pages with tables are appearing partially or not at all;major
scrollbars shouldn't be shown;major
nsString::ToNewCString();major
ss:Crash in Parser after visiting page with plugin;major
table lays out at content's maxElementSize;major
Search problems against Exchange LDAP servers;major
Table Column Memory Leak;major
ss:Memory leak of select element;major
body tag incorrectly added to frameset doc & Thin black rect on right edge;major
page looks like it went through a paper shredder;major
Incorrect layout of page;major
<P> tag after </TR> closes table before </TABLE>;major
Purify Reported ABR;major
content missing, parsing error for <form> in <table>?;major
Table layout incorrect;major
Changing display and through Javascript;major
[PP] Linux viewer doesn't display test0.html;major
"HTTP ""Link"" header prevents page from rendering!!!";major
Selection of preferred stylesheets via HTTP header is not possible;major
"HTTP header ""Content-Style-Type"" is ignored";major
"Style element ""type"" attribute is ignored";major
Canvas background is not set correctly;major
table layout is very confused;major
http://www.rsac.org/homepage.asp: App hangs - does not load;major
[PP] http://www.sportsline.com/: Only object that loads on page is the top table;major
[PP] http://www.sony.com/: background does not render;major
Body colour not inherited in table;major
[PP] Linux and hidden form fields;major
Purify Memory Leak Warnings;major
mulivalued lists do not maintain their order;major
[PP] Mac only - Crash at this site as it loads;major
www.hotwired.com pop-down menus not rendering;major
warnings: hiding inherited virtual functions;major
TEXTAREA elements do not render before forms;major
Removing and adding attribute values gives Perl error;major
Tables containing comments lay out wrong;major
viewer core dumps immediately;major
Phrasal Elements in H[1-6]s cause H[1-6] element to break;major
Mozilla 5 supports XML, but it does not announce it in it's HTTP request headers...;major
Scroll bars ignore overflowed contents of explicitly sized box;major
ldap_extended_operation() bug - Renders extended operations non-functional;major
browser crashes in layout;major
purify reports UMR in PaintUnicode;major
crash in StyleContextImpl destructor;major
Part of these tables do not display;major
This page (with comments) does not load completely!;major
BODY BACKGROUND not rendered on this page;major
all 'auto' values in ua.css should be changed to '1em';major
MLK: memory leak in Tokenizer or Parser.;major
Incorrect use of PL_Hash;major
[BLOCK] Title button widget causes infinite redraw;major
incrementally adding a caption crashes;major
euc conversion have problem;major
XP-COM problem- EUC-JP and ISO-2022-JP converter does not get load on Mac;major
Unicode Conversion-Buffer boundary problem;major
Line breaking- Hankaku Katakana kinsoku does not work;major
"(crasher) Mishandling of HTTP ""301-Permanently Moved"" Responses";major
many pages render very slowly;major
[PP] Menu bar is blank after exiting StdFile dialog;major
SGI/native compiler errors on expat/xmlparse/xmlparse.c;major
[CRASH] while loading above URL;major
wallet bustage: seems to be due to problems in raptor;major
Can not access the length of plugins array.;major
weird dependence on floats for box size;major
<head><img ..> crashes the viewer;major
CNavDTD does not grok optional BODY start tags;major
table looks wrong and banner in the wrong place;major
simplified chinese gb2312 to unicode conversion failed;major
traditional chinese - x-euc-tw to unicode conversion failed;major
Won't Compile on Sparc Linux (Redhat 5.1);major
Mozilla compile fails under AIX 4.1;major
NSPR gives me a compile error on Linux.;major
Pages w/a DOCTYPE are blank...?;major
Page not rendered at all;major
Assertion in background rendering code (image tiling);major
Reload button makes Apprunner crashes;major
Character Set menu does not work in no meta euc-tw page;major
Character Set menu does not work in Frame;major
Line break within </A> tag breaks link handling;major
Undefined references in $CODEROOT/nsprpub/pr/src/linking/prlink.c;major
[table] incremental reflow assertion setting cell text via dom;major
Switch to the new registry API nsIRegistry;major
KOI8-R page does not display the correct characters;major
Page causes browser to quit;major
[4.xP]FONT FACE element effects other elements - in this case main body content gets moved down the page;major
incremental reflow problems in table + area frames;major
onmouse Over effect;major
[4.xP] Image alignment problem;major
Linking to a non-existent file:// stylesheet prevents application of styles!;major
align attribute causes image links to malfunction;major
CSS crash on securemed.com;major
Document.writes of framesets create documents with null URLs;major
ISO-8859-5 page does not display the correct characters;major
document.aForm.aSelect.options[document.aForm.aSelect.selectedIndex].selected is false;major
Transfer interrupted! error in this page;major
Apprunner hangs after loading this page;major
HTML META Charset does not work;major
[PP][CRASH]selecting Bookmarks|Personal Bookamarks crashes when empty;major
[PP] Closing browser while loading image triggers a crash;major
Linux -Error loading this URL;major
Linux -Error loading this URL;major
Crash when opening file in browser;major
Print Preview, Two Column crashes with Demo 8;major
HTML meta charaset does not work;major
[PP] the browser window keeps popping up to the front of the window you are using.;major
JavaScript not working, producing strange results...;major
HTTP-Equiv charset handling is not working;major
"Browser Character Menu contains 4 ""ISO-8859-1"" entries.";major
"Browser Defaut Character set menu contains 2 ""Macintosh Roman"" entries";major
UTF-7 page is not displayed correctly;major
A reference held to a DOM object by JavaScript doesn't prevent its deletion.;major
Dynamic update of combo box widget;major
Binary compatibility with COM broken;major
UTF-7 IMAP4rev1 modified version page is not displayed correctly;major
parser strip out Unicode U+xx00 from html attribute;major
Resize expands JS/JPEG  pix endlessly;major
Can't place '#' in general entity value without escaping;major
Parser causes segfault (+stacktrace);major
document layout incorrect.  Parser error?;major
Selecting justified text does strange things.;major
[CRASH] - clicking in document selects text and crashes app;major
[Regression] Selection does not work in main apprunner window;major
Resizing window with image selected crashes Gecko;major
MLK: nsCaret during firing;major
[PP] Crash exiting apprunner;major
crash when switching tests;major
Widgets don't stop repeating when disposed->crash;major
Crash when mouse moves after switching tests;major
scrolling view corner misplaced;major
default/initial text doesn't appear in <textarea>;major
[M4] nsDrawingSurfaceGTK::Lock() aborts with X error in gdk_image_get();major
Build fails on Digital Unix;major
xpviewer crashes on startup;major
MLK: GTK code, leaking vertical scrollbar;major
Array bounds write:  GTK nsListBox;major
need UCS-4 converter;major
[PP]fails to display default selection on in-page drop box;major
Collapsed toolbars cannot be un-collapsed;major
Program freeze;major
Apprunner crashes on this particular page reflow (2 broken images);major
no way to tell editable content from non-editable content;major
"""window.navigator.plugins[i].name"" returns plugin filename instead of plugin name.";major
Turn on support of external entitity replacement;major
Page layout is way screwed up;major
[BLOCK] submenus aren't generated at all;major
Need Charset Detection interface and implementation;major
Crash when typing in empty document;major
warner bros. site crashes apprunner;major
[BLOCKER] Editor dialogs pop down before displaying;major
"Calling ""top.window.close()"" from within a timeout crashes (in M7)";major
XML parser fails to parse utf-8 string correctly;major
[CODE] Missing call to remove content->frame mapping;major
{list} List markers omitted when the list element starts with a child block element;major
[PP] test16 crashes the browser under linux;major
