reflow of tables doesn't reposition caption;normal
collapsing borders not implemented;normal
add banner has horizontal scrollbar;normal
CSS !important doesn't work;normal
Nested tables hosed;normal
Website's background picture is not being layed out.;normal
table layout not correct;normal
Can't read plain text files;normal
Table totally hosed;normal
Doesn't display some GIFs;normal
table alignment not quite right in constrained layout case;normal
"Multiple ALIGN=""LEFT"" tables don't render";normal
Courier, Times New Roman fonts don't display in Test 0;normal
NGLayout crashes on this URL;normal
We're parsing comments strangely inside a script tag;normal
Raptor build status displays incorrectly;normal
'em' units don't work;normal
border widths can be negative;normal
CSS parser eats style rule after malformed rule;normal
Lots of temporary SupportsArrayImpl objects;normal
BUILD: modules/libimg/src/png_png.cpp and config'ed --with-png;normal
LISTING and PRE tag's need to eat the first newline;normal
<ins> and <del> tag parsed incorrectly;normal
we dont' support the hex notation for numeric character references;normal
IID collision in nsIConnectionPoint;normal
Table cell content overrides cell borders;normal
"The style attribute with a CSS ""text-decoration"" value is numeric";normal
border: none creates a 5 pixel border;normal
"CSS font-size: ""small"" looks like normal font size";normal
Viewer crashes when rendering the above url;normal
layout is incorrect on this page;normal
DIV should be considered to terminate a P;normal
Negative CSS font-size should not be allowed;normal
image alignment;normal
Top borders are a pixel too thin;normal
Default CSS border-width=medium border-style=none;normal
"""Negative"" characters";normal
Fix to avoid multiple declaration of PrefChangedFunc;normal
Setting column width on COLGROUP not implemented yet;normal
SPAN attribute on COL element not implemented yet;normal
Proportional Width Table Columns not implemented yet;normal
NGLayout uses the wrong initial value for border-color;normal
Fix for layout/events/src/nsDOMEvent.h;normal
content has horizontal scroll bar that it shouldn't have;normal
Strange Border Bugs;normal
z-index doesn't work;normal
v-scroll bar doesn't appear until I manually resize the window;normal
DEL and INS need some default style;normal
DFN tag needs default style;normal
CSS 2 attribute selectors are not implemented yet;normal
Change to libimg/src/if.h to prevent multiple declaration of TimeoutCallbackFunction;normal
</FONT size> problem;normal
<BUTTON> is confined to <FORM>;normal
wrong font in illegal HTML;normal
"missing "" breaks page";normal
character entities fail erratically;normal
Page Lays Out Wrong;normal
This tables page is on crack;normal
the following simple document parses wrong;normal
No horizontal scrollbar;normal
Reflow of this document leaves artifacts;normal
No CSS2 position:fixed support;normal
picture frame missing;normal
'smaller' problem on sans-serif font;normal
Search with @ATTRS specified, Perl_safemalloc missing;normal
Improve LDIF.pm module;normal
"Makefile.PL: ""sl"" is needed on hpux for shared library";normal
Bug in API.pm when updating multiple attributes;normal
Bug in API.xs handling zero-value attributes;normal
Unicode Conversion- NGLayout doesn't support windows-1252 charset;normal
font-variant small-caps and accented letters;normal
table borders almost invisible;normal
#line problems on some platforms;normal
RFE: Better documentation on installing PerLDAP on NT;normal
RFE: Access methods to more Conn:: internals;normal
 @import media, cross-folder imports, <link media> all buggy;normal
Background Image on This Page Doesn't Load;normal
simple parsing bug;normal
style incorrect in left column;normal
View Source takes line breaks out of comments;normal
Frame of a tnt.turner.com URL does not render right;normal
Doc: README/FAQ should indicated supported Binary platforms;normal
ss: Yahoo doesn't layout properly - 70% of content doesn't appear at all;normal
Client side imagemaps don't work in some nested tables;normal
ss:Main table does not render;normal
<table width=n%> lays out incorrectly.;normal
Bottom table ('About our WebSite/Feedback') is duplicated;normal
Poorly formed entity doesn't resolve correctly;normal
ss:parser creating bad document;normal
Background does not render.;normal
ss:plain text file regression...;normal
Image does not lay out;normal
Still leaks in xpviewer and viewer on win95;normal
Images and links not centered properly within table;normal
http://www.rsac.org has scrolling problems (possible parser error);normal
www.hotfiles.com is missing the left blue bar.;normal
scrollbars and margins on BODY;normal
[OPTIMIZED] Table column does not paint.;normal
Table outline cut off on amazon.com, but not on NT debug build;normal
horizontal bloat-the page is much wider than it should be;normal
Cell width problem;normal
Table empty cells not implemented;normal
listing of directories is not formatted correctly;normal
"""P"" handling is broken (a recent regression)";normal
text has wrong font;normal
Invalid attribute causes skiped text;normal
win32 debug build dies with an assertion failure;normal
Not reading ALT content in Applet tag when Java is off;normal
Error in reflow when document is scrolled;normal
background image/color is not displayed;normal
This site causes crash in ns4xPlugin.cpp::Initialize();normal
Default table cell width not backwards-compatible;normal
Error in rendering nesting tables;normal
Error rendering HTML table before first window resize;normal
TextArea HTML Forms Crash if invalid attrib - code fix included;normal
Frame size not found;normal
CSS @import doesn't pick up BASE HREF;normal
Z-index layering incorrect;normal
border sizes: thin/medium/thick cause rounding problems;normal
CSS // should *not* be treated as comments;normal
HTML Form Exception when DOM Object doesn't exist AND FIX;normal
www.indirect.com completely hosed today;normal
problem parsing nested DLs without closing tags on DD or DT;normal
horizontal scroller triggers vertical scroller;normal
Header displays, but nothing else;normal
Attribute Selector interpreted as... BODY (?);normal
Transparent background on HTML element causes undefined background;normal
P should be terminated by another P;normal
CSS2's bottom: and right: positioning properties don't work;normal
Negative margins messed up;normal
header <h1> <h2> .. etc. Displaying improperly.;normal
body width not honored;normal
In the boxacidtest, right margin problems - (scroolbar, I believe);normal
remove() doesn't remove the attribute...;normal
"table frame=""void"" renders incorrectly";normal
"""border-top-color: black"" doesn't work";normal
Horizontal Scrollbars Appear When They Aren't Needed;normal
problems with ua.css;normal
table displays incorrectly - <table> closed prematurely;normal
the url above doesnt render properly in nglayout;normal
P tags not handled properly;normal
Image file within minimal table doesn't display;normal
gecko handles OBJECT incorrectly for native image types;normal
background draws under border, should only draw to padding edge;normal
Setting margins on BODY to 0px via CSS;normal
Simple Mouse down on page causes page redraw;normal
bad layout;normal
Assert in content sink;normal
Various parsing problems;normal
[PP] Messed up drawing after scrolling;normal
[PP] The CvtURL test app doesn't exist on linux;normal
[PP] The htmlrobot test app doesn't exist on linux;normal
[PP] The netTest test app doesn't exist on linux;normal
[PP] The regFactory test app doesn't exist on linux;normal
Nested list prematurely terminated;normal
vertical alignment of floats messed up;normal
absolute positioning not being done relative to containing block;normal
Script tag causes parsing problems;normal
Viewer crash in nsTimerMac;normal
[PP] Crash loading any URL;normal
