Minor memory leak in CNavDTD.cpp;minor
Cannot build modules/plugin/test plugin, missing file(s);minor
Plugin handling code creates temporary files but they are never deleted;minor
Auxiliary plugin DLLs not loaded from plugin directory;minor
gif does not lay out across table;minor
Links are not underlined.;minor
An unnecessary scrollbar appears when an element is absolutely positioned;minor
Link underlining has wrong colour;minor
990204: Text centering inconsistent between browsers;minor
Use of 'stack' as arg causes pblm.;minor
nsGenericContainerElement::GetAttribute out param wrong and FIX;minor
compatibility mode:  HR should not end PRE;minor
Page displays incorrectly in apprunner;minor
iso-8859-2 charset not rendered correctly;minor
Incremental reflow problem in Table of Contents demo;minor
floating text overlaps image;minor
Printed pages have left and top border lines on page;minor
TABLEs with a background image specified don't display;minor
Incorrect syntax in PostScript font .h files;minor
Copy-on-write stylesheet manager required;minor
{inc} When style is changed on this particular element, other elements act strangely;minor
Renders rather differently than Netscape 4.5;minor
<titledbutton> won't redraw when value attr assigned an empty string;minor
When BUTTON pressed, turns aqua;minor
Highlight bug on build 1999042908;minor
Selecting text across lines with varying character spacing styles doesn't track cursor;minor
Scrollbar Problem;minor
spelling error in locale GetCatagory API;minor
when file | open is selected, dialog not dismissed;minor
cast to fix warnings;minor
"Tooltips in wrong location, result in tooltip of ""Get Back, JoJo""";minor
min/max-width should cause margin recalculation for positioned elements;minor
Fix signed/unsigned mismatch;minor
Fix signed/unsigned mismatch in nsPluginArray.cpp;minor
Cable News Network;minor
[PP]windows only: image in table truncated;minor
Column labels bleed into next column;minor
Tables line-break text within cell at too minor a prompt;minor
file descriptor leak in registry.;minor
[PP] linux - check boxes look wrong when selected;minor
Visual indication of hyperlink not printed;minor
Images not printed when page is printed;minor
printing fails, (locale-defined) comma decimal separator incorrectly used in PS output;minor
PNG gAMA chunk ignored;minor
parser issue with P, TABLE and DIV;minor
Fix small compiler warning in nsScriptableDateFormat.cpp;minor
takes a long time to load images from the hard drive;minor
Extraneous white space inserted into pasted CGI URL;minor
FMM in nsXIFConverter.cpp;minor
MLK: 4 bytes leaked-  nsToolkit leaks a GC;minor
Browse button (for file selection) font different than others;minor
Tabbing through anchors - focus indicator not removed;minor
font changes when text control gets first focus;minor
[PP][ENDER] mac only: lfs in textareas go across 2 lines, not 1;minor
pratom.c needs to include <string.h>;minor
[PP]display of partial background image can obscure text;minor
if you resize tinderbox vertical table dividers sometimes appear green not white...;minor
"SCRIPT tag TYPE attribute ignores ""version=""";minor
Not displayed correctly;minor
rename nsDeque::Peek() to nsDeque::PeekFront();minor
[Outdated plug-in] Sherlock plug-in for Google is outdated;minor
[PERF] Windows event loop cleanup;minor
[GTK Themes] The URL field gets garbled sometimes;minor
table background isn't cut at the borders, but repaints correctly;minor
[DOGFOOD] Paste into form pastes to wrong place;minor
No error handling for unsupported protocols;minor
NECKO:When apprunner loads URLs, NT lists app as 'not responding';minor
When text input control loses focus, insertion caret remains;minor
Implement HTTP 1.1 must-revalidate support;minor
[FEATURE] Auto-update <window> attrs when window resized;minor
nsFileSpecWithUIImpl.cpp:ChooseOutputFile returns OK when CANCELLED;minor
dynamic pseudo-classes: :hover, :active, and :focus not yet supported;minor
redundant code in modules/libimg/src/ilNetReader.cpp;minor
{css-moz} rounded backgrounds fail with % values on -moz-border-radius;minor
[PP] Enter Key should be mapped to Return;minor
{css-moz} RFE: Need to be able to specify -moz-border-radius for each corner;minor
First access to pages using basic authentication does not set User-Agent header in request (only tested on linux m6);minor
{css1} Unitless numbers are not ignored;minor
[4.xP] CSS color values without # is ignored;minor
{css-moz} rounded backgrounds spills if top left is not rounded;minor
[Necko] [PP] Throbber doesn't throb;minor
Spaces not rendered correctly from document.write() in <HEADER>;minor
Too many password entrys cause problems;minor
Reload causes broken glyph icon to appear;minor
<table width=0> should be handled slightly differently;minor
{css1} 'width' buggy with TEXTAREA and SELECT;minor
Machine names in URLS case sensitive in chachine;minor
4.xP Partial URLs of the form //hostname/path resolved wrongly.;minor
pref-mousewheel.dtd contains duplicate keys;minor
Bank of American main page rearranges itself before layout finishes;minor
am-server-top.dtd contains duplicate keys;minor
List items don't support images as bullets;minor
non-replaced floats without width should have 0 width;minor
"{inc} Space gets added on the right for ""overflow: auto""";minor
{css1} {ll} trailing spaces on line break increase line height!;minor
{inc} incremental reflow bug;minor
{inc} missing margin-top on DIV;minor
{inc} http://slip/projects/marvin/bugs/br_bug.html;minor
{inc} appended incremental reflow bug - mbp.html;minor
{inc} CSS: Margin-bottom not working properly with a percentage value;minor
{inc} Body frame ignoring bottom margin of last child during initial flow;minor
"{inc} any reflowing will cause ""bogus"" spaces to be inserted in the";minor
{inc} Box acid test renders incorrectly (margin reflow issue);minor
"Splitter: ignore ""cursor"" style setting.";minor
[nsHTMLToTXTSinkStream] URLs surrounded by quotes *and* angle brackets;minor
