if xpviewer.exe Sample->Examle 3 the simple table not layed out correctly;trivial
"Gecko developer release doesn't seem to comprehend the ""pre"" HTML element, which as an web designer, I find Very important that gets fixed.";trivial
Typo in the default page displayed (demo #0);trivial
Doesn't put line breaks where they should be;trivial
No not shared library support in Makefiles;trivial
warning fix : ns/nsprpub/pr/src/threads/prdump.c;trivial
Bullet offset to right;trivial
[PP]view | character set | mac roman displays twice;trivial
view | character set | baltic rim… should read baltic;trivial
CDATA blocks: end tags and <!--;trivial
engine not defined error;trivial
STRICT is already defined;trivial
[4.xP] <Title> data incorrect;trivial
Parsing of BGCOLOR is incorrect;trivial
Over-specified/competing colspan counts break tables;trivial
Signed/unsigned warnings in expat/xmlparse/xmlparse.c;trivial
top and bottom margins on nested DLs;trivial
"typo in ua.css: ""mulitple"" instead of ""multiple""";trivial
In OPTGROUPs, fonts don't match when list dropped down;trivial
{css-moz} -moz-border-radius and % values;trivial
Left side of page is not accessible, even with the horizontal scroll bar;trivial
Cookies dialog has minor grammatical error;trivial
color picker draws an extra row on default palette;trivial
Compiler warnings in mozilla/network/cache/mkcache.c, extcache.c;trivial
minor typo in status bar 'unable to locate host' message;trivial
{css-moz} -moz-rounded-corners and uneven border-styles;trivial
Label does not match command in chrome dtd file;trivial
While highliting parts of this page, weird boxes show up;trivial
g++ always used;trivial
[PP] Mac - 'Mozilla Preference' file not correctly named;trivial
990204[4.xP]: Text appears too large for column;trivial
Sidebar shows incorrect cursor;trivial
Remove color picker frame code in layout/xul/base/src;trivial
Page renders incorrectly;trivial
hspace and vspace attributes ignored on tables;trivial
UMR in OpenProcessToken called from  PR_NT_InitSids [ntsec.c:80];trivial
2 warnings, xmltok.c (blamed in shrike Linux Cobbler);trivial
Default pattern for file save dialog on Unix is *.*, which is a windowsism;trivial
Incorrect text hilite on mouseover inside table cells;trivial
DESTROY method in Entry.pm V1.4 CLEAR errors;trivial
Text widgets do not draw correctly in small window.;trivial
<plaintext> is not acting as a container, doesn't get monospace font;trivial
checked and unchecked images for checkboxes have different heights;trivial
Round buttons get slightly clipped on mouseup;trivial
[4.xP] First character in text field highlights, even if nonexistent;trivial
layout of page doesn't look right;trivial
Duplicate code in nsComponentManager;trivial
information about linking to DLLs by name or by ordinal;trivial
Trailing whitespace not stripped from filename being printed to;trivial
XMLSerializer::serializeToString() doesn't recognize empty elements;trivial
Inefficiency in the code (patch included);trivial
Incorrect error message for about-cache: when entry is not found;trivial
style aspects of <button> element are lost after setting disabled property;trivial
Bad wording when getting any plugin;trivial
Make transformiix |#include|s better;trivial
cmsutil too much output in regular mode;trivial
[console] xpconnect must not print to console in opt builds;trivial
nsNativeComponentLoader::AutoRegisterComponent contains non-static array;trivial
Rejecting sgml mimetypes at view source;trivial
nsImageBoxFrame does lots of redundant GetShells;trivial
"Button ""pressed"" state not displayed for HTML 4 BUTTON element";trivial
unsecure use of new operator in nsPresShell.cpp;trivial
[console] os/2 port should not print to console in opt builds;trivial
[console] libutil must not print to console in opt builds;trivial
Wrong comment for HTTP PR_LOG;trivial
[console] libimg/libpron must not print to console in opt builds;trivial
[console] Plugin module must not print to console in opt builds;trivial
images are cookies?;trivial
[console] gfx/gfx2 must not print to console in opt builds;trivial
"Download & Install Font"" should be ""Download and Install";trivial
[patch]Dead code removal in nsSimplePageSequence::StartPrint();trivial
Drag home button to home button;trivial
missing comments in nsICacheSession.idl;trivial
<center> Tag wrapped around <dt> </dt> <center> fails;trivial
Delete key doesn't perform as expect in input boxes;trivial
"Dialogs have rightleft pinstripe ""border""";trivial
Add getter for mAlphaDepth to nsIImage;trivial
file name: and file of type: descriptions not aligned with fields in xp filepicker;trivial
empty table width attribute treated as zero table width;trivial
remove unused nsIReflowCommand::ReflowType values;trivial
remove unncessary methods from nsIImageFrame;trivial
Can't paste just spaces copied from within Mozilla;trivial
uncomplete gif-file looks bad;trivial
Don't use sprintf to convert int->string;trivial
"Up and Down should be ""Up Arrow"" and ""Down Arrow""";trivial
nsPrefBranch::SetComplexValue : rv may be returned uninitialized.;trivial
Select image dialog has wrong title;trivial
Save/Saving switches on the execute bit.;trivial
explicit casts needed in EditorFrame.cpp;trivial
ANSI disallows enum casts - make explicit in EditorView.cpp;trivial
Page Up and Page Down keys move URL in Location: up and down;trivial
"""More Properties"" sizing problems";trivial
Composer editing popup menu behaves weird;trivial
[Plaintext]menubar list does not get hidden when toolbar is clicked;trivial
"Export's ""x"" accesskey conflicts with Exit";trivial
"Format menu accelerators display ""Shift"" then ""Ctrl""";trivial
right click selects entire text in a cell.;trivial
changing a list style results in entire list getting selected;trivial
Publish button needs to be removed/implemented;trivial
Editor toolbar should use toolbarseparator not spring;trivial
[console] qt port should not print to console in opt builds;trivial
Textfield with Multiline inserts a scroll bar.;trivial
Property and value not aligned correctly in Cookie Manager;trivial
"""In PKCS11SecureRandom constructor"" println";trivial
Bad comment in nsIInputStream?;trivial
printf has an extra parameter;trivial
"""HyperText Transfer Protocol"" should be ""Hypertext Transfer Protocol""";trivial
modules/libimg/src/if.cpp : IL_StreamWrite return value undefined if len==0.;trivial
No call to FlashWindow( hwnd, FALSE );trivial
