%Weekly stock price from 30/09/17 to 28/09/18
Week,Price
1,170.25
2,173.45
3,175.5
4,174.15
5,179.29
6,178.35
7,179.3
8,180.4
9,176.03
10,181.53
11,179.02
12,177.14
13,178
14,185.59
15,178.06
16,180.85
17,187.75
18,192.04
19,174.76
20,178.99
21,179.9
22,173.29
23,183.91
24,184.49
25,165.44
26,155.15
27,157.73
28,164.58
29,167.79
30,176.81
31,173.08
32,184.85
33,183.49
34,186.02
35,193.07
36,187.53
37,195.79
38,201.16
39,197.32
40,198.45
41,207.81
42,208.85
43,179.87
44,177.69
45,182.04
46,174.5
47,173.7
48,177.15
49,160.31
50,161.72
51,166.64
52,168.33
