% Day (only week days) from 01/10/17 (Sunday) to 30/09/18(Sunday),
Day,Price
2,171.39
3,169.3
4,169.83
5,169.18
6,170.25
9,172.7
10,173
11,171.95
12,172.61
13,173.45
16,174.49
17,174.71
18,176.65
19,174.93
20,175.5
23,175.2
24,172.3
25,171.9
26,171.38
27,174.15
30,179.26
31,180.57
32,182.36
33,180.63
34,179.29
37,178.56
38,180.5
39,179.79
40,178.31
41,178.35
44,177.5
45,178.13
46,176.66
47,178.76
48,179.3
51,178.87
52,179.15
53,181.3
54,180.4
58,182.56
59,183.51
60,181.89
61,176.85
62,176.03
65,176.29
66,170.45
67,172.5
68,175.8
69,181.53
72,179.3
73,178.6
74,177.3
75,178.29
76,179.02
79,181.01
80,179.95
81,179.81
82,177.94
83,177.14
87,176.63
88,176.55
89,177.95
90,178
94,177.68
95,181.88
96,184.9
97,185.59
100,187.2
101,188.7
102,186.94
103,188.4
104,178.06
108,181.5
109,179.26
110,178.13
111,180.85
114,180.8
115,186.05
116,189.89
117,187.95
118,187.75
121,188.75
122,187.62
123,188.37
124,188.22
125,192.04
128,186.93
129,178.57
130,184.15
131,181.01
132,174.76
135,177.06
136,175.62
137,173.45
138,180.5
139,178.99
143,175.77
144,176.71
145,178.7
146,179.9
149,184.58
150,184.45
151,182.3
152,179.01
153,173.29
156,176.2
157,181.78
158,178.74
159,183.56
160,183.91
163,185.23
164,185.61
165,182.6
166,183.24
167,184.49
170,177.01
171,167.47
172,164.8
173,166.13
174,165.44
177,160.82
178,156.31
179,151.65
180,155.15
184,157.81
185,156.55
186,152.03
187,161.56
188,157.73
191,157.82
192,157.93
193,165.36
194,166.98
195,164.58
198,165.72
199,165.83
200,166.88
201,166.2
202,167.79
205,167.27
206,165.43
207,160.14
208,173.22
209,176.81
212,173.79
213,172
214,174.25
215,175.13
216,173.08
219,177.35
220,178.25
221,179.67
222,183.15
223,184.85
226,187.71
227,184.88
228,183.7
229,182.68
230,183.49
233,183.77
234,184.93
235,182.5
236,185.88
237,186.02
241,184.34
242,186.54
243,187.87
244,193.07
247,191.84
248,194.3
249,191.03
250,190.75
251,187.53
254,188.81
255,192.17
256,192.74
257,193.1
258,195.79
261,194.8
262,196.24
263,199.1
264,202.76
265,201.16
268,200
269,197.6
270,199.18
271,195.18
272,197.32
275,193.37
276,194.55
278,194.74
279,198.45
282,204.93
283,204.5
284,202.22
285,203.43
286,207.81
289,207.5
290,204.9
291,209.82
292,208.77
293,208.85
296,210.58
297,215.11
298,215.72
299,174.89
300,179.87
303,175.3
304,170.67
305,173.93
306,170.68
307,177.69
310,178.97
311,186.5
312,184.75
313,185.85
314,182.04
317,180.1
318,180.71
319,179.34
320,180.42
321,174.5
324,174.04
325,172.81
326,172.21
327,173.09
328,173.7
331,175.99
332,178.1
333,176.3
334,175.9
335,177.15
339,173.5
340,169.49
341,166.98
342,160.31
345,163.51
346,163.94
347,163.25
348,162
349,161.72
352,161.92
353,159.39
354,160.08
355,164.5
356,166.64
359,161.03
360,161.99
361,164.3
362,167.55
363,168.33
